prefix,operator,card
0811,Telkomsel,Kartu Halo
0812,Telkomsel,Simpati / Halo
0813,Telkomsel,Simpati
0814,Indosat Ooredoo,Indosat M2 (IM2)
0815,Indosat Ooredoo,Matrix / Mentari
0816,Indosat Ooredoo,Matrix / Mentari
0817,XL Axiata,XL Prabayar / Prioritas
0818,XL Axiata,XL Prabayar / Prioritas
0819,XL Axiata,XL Prabayar / Prioritas
0821,Telkomsel,Simpati
0822,Telkomsel,Loop / Facebook
0823,Telkomsel,Kartu AS
0831,XL Axiata,AXIS
0832,XL Axiata,AXIS
0833,XL Axiata,AXIS
0838,XL Axiata,AXIS
0851,Telkomsel,By.U / Kartu AS
0852,Telkomsel,Kartu AS
0853,Telkomsel,Kartu AS
0855,Indosat Ooredoo,Matrix
0856,Indosat Ooredoo,IM3
0857,Indosat Ooredoo,IM3
0858,Indosat Ooredoo,Mentari
0859,XL Axiata,XL
0877,XL Axiata,XL
0878,XL Axiata,XL
0881,Smartfren,Smartfren
0882,Smartfren,Smartfren
0883,Smartfren,Smartfren
0884,Smartfren,Smartfren
0885,Smartfren,Smartfren
0886,Smartfren,Smartfren
0887,Smartfren,Smartfren
0888,Smartfren,Smartfren
0889,Smartfren,Smartfren
0895,Indosat Ooredoo (Tri),Tri (3)
0896,Indosat Ooredoo (Tri),Tri (3)
0897,Indosat Ooredoo (Tri),Tri (3)
0898,Indosat Ooredoo (Tri),Tri (3)
0899,Indosat Ooredoo (Tri),Tri (3)
